supplier_id,business_unit_id
SUP-001,BU-01
SUP-001,BU-02
SUP-001,BU-05
SUP-002,BU-03
SUP-002,BU-05
SUP-003,BU-01
SUP-003,BU-02
SUP-004,BU-04
SUP-004,BU-02
SUP-005,BU-03
SUP-005,BU-01
SUP-006,BU-02
SUP-006,BU-05
SUP-006,BU-01
SUP-007,BU-01
SUP-007,BU-04
SUP-007,BU-05
SUP-007,BU-02
SUP-008,BU-05
SUP-008,BU-04
SUP-008,BU-01
SUP-008,BU-02
SUP-009,BU-03
SUP-009,BU-02
SUP-009,BU-04
SUP-009,BU-05
SUP-010,BU-01
SUP-010,BU-05
SUP-011,BU-02
SUP-011,BU-01
SUP-011,BU-05
SUP-012,BU-04
SUP-012,BU-05
SUP-012,BU-02
SUP-012,BU-01
SUP-013,BU-01
SUP-013,BU-05
SUP-014,BU-05
SUP-014,BU-01
SUP-014,BU-04
SUP-015,BU-03
SUP-015,BU-01
SUP-015,BU-02
SUP-016,BU-04
SUP-016,BU-05
SUP-017,BU-05
SUP-017,BU-01
SUP-017,BU-04
SUP-017,BU-02
SUP-018,BU-02
SUP-018,BU-04
SUP-019,BU-01
SUP-019,BU-02
SUP-019,BU-05
SUP-020,BU-05
SUP-020,BU-02
SUP-020,BU-04
SUP-021,BU-04
SUP-021,BU-01
SUP-021,BU-02
SUP-021,BU-05
SUP-022,BU-05
SUP-022,BU-02
SUP-022,BU-01
SUP-023,BU-01
SUP-023,BU-02
SUP-023,BU-04
SUP-024,BU-04
SUP-024,BU-01
SUP-024,BU-02
SUP-025,BU-01
SUP-025,BU-05
SUP-025,BU-04
SUP-025,BU-02
SUP-026,BU-04
SUP-026,BU-05
SUP-026,BU-02
SUP-026,BU-01
SUP-027,BU-01
SUP-027,BU-02
SUP-027,BU-04
SUP-027,BU-05
SUP-028,BU-02
SUP-028,BU-05
SUP-028,BU-04
SUP-028,BU-01
SUP-029,BU-01
SUP-029,BU-04
SUP-029,BU-05
SUP-030,BU-05
SUP-030,BU-01
